"date","lc_class","lc_descr","aet_lm2m","pet_lm2m"
"2000-01-25",10,"Crops rainfed",21.0467158379266,40.0467931916442
"2000-01-25",30,"Crop-tree mosaic",19.2602833464282,36.036835390836
"2000-01-25",60,"Woodland",25.7666099038644,41.7385313359403
"2000-01-25",120,"Shrubland",62.4588259694177,78.7933657655081
"2000-01-25",130,"Grassland",369.579310401329,388.16470313634
"2000-01-25",180,"Flooded Vegetation",453.096628266412,474.889195622625
"2000-01-25",190,"Built areas",118.67853113361,143.431248353875
"2000-01-25",200,"Bare areas",283.045513444548,305.383382106914
"2000-01-25",210,"Water bodies",1294.93823787068,1312.96717067247
"2000-02-26",10,"Crops rainfed",24.4388677425358,42.1275315758213
"2000-02-26",30,"Crop-tree mosaic",22.5355380446013,38.9912527898663
"2000-02-26",60,"Woodland",28.8592132677946,43.7296267117373
"2000-02-26",120,"Shrubland",65.6721806234757,81.6277179892276
"2000-02-26",130,"Grassland",372.293253015824,389.90141011725
"2000-02-26",180,"Flooded Vegetation",456.109466140335,475.010817244246
"2000-02-26",190,"Built areas",121.809780970864,143.030161525892
"2000-02-26",200,"Bare areas",286.010727966759,305.145781509359
"2000-02-26",210,"Water bodies",1297.32335027416,1313.22644047255
"2000-03-29",10,"Crops rainfed",26.1460547990437,50.7036497349478
"2000-03-29",30,"Crop-tree mosaic",24.7218958864695,48.425581002076
"2000-03-29",60,"Woodland",31.2383478742306,53.2151914411865
"2000-03-29",120,"Shrubland",65.9177667299225,88.981250838242
"2000-03-29",130,"Grassland",373.117845161876,395.607180539503
"2000-03-29",180,"Flooded Vegetation",458.406763360307,480.614195952544
"2000-03-29",190,"Built areas",122.695922333261,149.035867939825
"2000-03-29",200,"Bare areas",287.41226946956,309.293837846444
"2000-03-29",210,"Water bodies",1298.71829407938,1318.80340661895
"2000-04-30",10,"Crops rainfed",17.8315751879192,56.7472854528414
"2000-04-30",30,"Crop-tree mosaic",17.0192056690497,53.2585800569249
"2000-04-30",60,"Woodland",23.7717021009631,59.1879764800638
"2000-04-30",120,"Shrubland",56.3673181681729,96.5871728735229
"2000-04-30",130,"Grassland",366.658298348084,403.953434336221
"2000-04-30",180,"Flooded Vegetation",451.458114675573,490.816222629032
"2000-04-30",190,"Built areas",114.568476651026,159.482878933782
"2000-04-30",200,"Bare areas",281.394105955359,322.673998681853
"2000-04-30",210,"Water bodies",1292.68486713024,1323.58402449361
"2000-05-24",10,"Crops rainfed",11.8887106882704,48.505260146687
"2000-05-24",30,"Crop-tree mosaic",9.83175210457856,45.3547808207816
"2000-05-24",60,"Woodland",16.5171766928063,49.9368950922502
"2000-05-24",120,"Shrubland",50.5824324529786,88.906701054767
"2000-05-24",130,"Grassland",361.98638997294,397.981697183937
"2000-05-24",180,"Flooded Vegetation",447.727934495823,484.384691393053
"2000-05-24",190,"Built areas",111.5036215834,152.742751992267
"2000-05-24",200,"Bare areas",277.002238199474,317.552997773199
"2000-05-24",210,"Water bodies",1291.28879971986,1317.71988579396
"2000-06-25",10,"Crops rainfed",10.5898522713684,44.1046624152805
